"probs","labels"
"0.09476247","0"
"0.099803","0"
"0.044384796","0"
"0.008549438","0"
"0.0691676","0"
"0.06215335","0"
"0.17032321","0"
"0.02048178","0"
"0.07813548","1"
"0.043194897","0"
"0.010763263","0"
"0.23138937","0"
"0.17114986","0"
"0.043237194","0"
"0.12511368","0"
"0.033254806","0"
"0.093706876","0"
"0.3449264","0"
"0.01897744","0"
"0.1286552","0"
"0.068587095","0"
"0.8951769","0"
"0.26757336","0"
"0.19426376","0"
"0.10637621","0"
"0.053390365","0"
"0.3101805","0"
"0.0408741","0"
"0.96962","0"
"0.062436376","0"
"0.08860018","0"
"0.045136474","0"
"0.04915048","0"
"0.06405564","0"
"0.014096804","0"
"0.34014395","0"
"0.6481183","0"
"0.073874995","0"
"0.06595704","0"
"0.012851221","0"
"0.86169523","0"
"0.02498953","0"
"0.011146599","0"
"0.98390794","1"
"0.062626205","0"
"0.062465053","0"
"0.04190462","0"
"0.47810584","0"
"0.058563717","0"
"0.02511966","0"
"0.25623488","0"
"0.033970095","0"
"0.07384641","0"
"0.06456209","0"
"0.65418154","0"
"0.2727541","0"
"0.10115479","0"
"0.6494607","0"
"0.14825056","0"
"0.024610495","0"
"0.21755148","0"
"0.38142034","0"
"0.12790947","0"
"0.018811643","0"
"0.010837555","0"
"0.02025504","0"
"0.041514065","0"
"0.48459372","0"
"0.042024985","0"
"0.014781184","0"
"0.051927745","0"
"0.019091062","0"
"0.06725388","0"
"0.14670731","0"
"0.014576167","0"
"0.19021818","0"
"0.2579334","0"
"0.043134265","0"
"0.023132615","0"
"0.06423863","0"
"0.02394503","0"
"0.15886593","0"
"0.11399977","0"
"0.48882896","0"
"0.017164173","0"
"0.21873038","0"
"0.077432364","0"
"0.05113022","0"
"0.075589135","0"
"0.121039376","0"
"0.2685269","0"
"0.013051213","0"
"0.17503795","0"
"0.035496473","0"
"0.9008731","0"
"0.012495723","0"
"0.032474313","0"
"0.31366217","0"
"0.08631311","0"
"0.17389014","0"
"0.07830319","0"
"0.10900725","0"
"0.24382626","0"
"0.23258051","0"
"0.119428225","0"
"0.053308416","0"
"0.11504381","0"
"0.080782264","0"
"0.26108077","0"
"0.13502967","0"
"0.16988593","0"
"0.12029263","0"
"0.069465905","0"
"0.021084907","0"
